"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Mustika Jaya , Bekasi Kota , jl. Raya KLP dua","Jalan Raya KLP dua, Bekasi Timur, Bekasi, Jawa Barat","Rp","599 jt","2","1","48 m²","Rp 6.655.556 per m²","",""
"Rumah Cluster Arcade Mustika Jaya Bekasi Kota dkt RS Mustika Medika","Jalan KLP dua, Narogong, Bekasi, Jawa Barat","Rp","565 jt","3","2","62 m²","Rp 5.539.216 per m²","",""
"Rumah baru siap huni termurah dalam cluster dekat toll jatiasih","Jatiasih, Jatiasih, Bekasi, Jawa Barat","Rp","580 jt","2","1","36 m²","Rp 8.285.714 per m²","",""
"Rumah baru 2 lantai di lokasi strategis jatiasih","Jatiasih, Jatiasih, Bekasi, Jawa Barat","Rp","1,2 M","3","3","130 m²","Rp 13.333.333 per m²","",""
"Rumah baru siap huni cuma 500meter ke pintu toll jorr jatiasih","Jatiasih, Jatiasih, Bekasi, Jawa Barat","Rp","1,2 M","3","3","130 m²","Rp 13.333.333 per m²","",""
"Rumah cantik 2 lantai baru dalam komplek pemda jatiasih","Jatiasih, Jatiasih, Bekasi, Jawa Barat","Rp","1,2 M","3","3","130 m²","Rp 13.333.333 per m²","",""
"Jakarta timur cijantung cipayung cibubur","Jl lindung, Jatisampurna, Bekasi, Jawa Barat","Rp","2,5 M","5","5","160 m²","Rp 22.321.429 per m²","",""
"Sinar asih","Sinar asih, Jatiasih, Bekasi, Jawa Barat","Rp","1,3 M","3","3","112 m²","Rp 21.666.667 per m²","",""
"Rumah Modern 2 lantai selangkah ke Harapan Indah hanya 2 Juta hingga Akad","H. Genang Tanah Tinggi, Tarumajaya, Bekasi, Jawa Barat","Rp","790 jt","3","1","63 m²","Rp 14.363.636 per m²","",""
"Grand camar hijau","Jl Abror jatiraden jatisampurna, Jatisampurna, Bekasi, Jawa Barat","Rp","985 jt","3","3","70 m²","Rp 16.416.667 per m²","",""
"Casturi Rumah Cileungsi","Jl. Setu Cileungsi Pasir Angin, Bekasi Barat, Bekasi, Jawa Barat","Rp","335 jt","2","1","40 m²","Rp 4.785.714 per m²","",""
"Rumah Tanpa DP Hanya Booking 2 Juta Hingga Akad di Bekasi","Jl. Pulo Timaha, Babelan, Bekasi, Jawa Barat","Rp","375 jt","2","1","36 m²","Rp 6.250.000 per m²","",""
"Rumah DP 0% Hanya Booking 2 Juta Hingga Terima Kunci dekat Tarumajaya Bekasi","Jl. Pulo Timaha, Tarumajaya, Bekasi, Jawa Barat","Rp","375 jt","2","1","36 m²","Rp 1.000.000 per m²","",""
"Rumah Modern 2 Lantai untuk Milenial di Mustikajaya Bekasi 15 menit Tol Grand Wisata","Jl. Mustikajaya, Bekasi Timur, Bekasi, Jawa Barat","Rp","799 jt","3","1","53 m²","Rp 13.316.667 per m²","",""
"Rumah 2 lt, mantap tanpa Dp, samping Summarecon crown","Jl H. Genang, tanah tinggi, setia asih,, Tarumajaya, Bekasi, Jawa Barat","Rp","779 jt","3","2","63 m²","Rp 14.698.113 per m²","",""
"Cluster 3 House jatiasih","Jalan Bina asih II, Jatiasih, Bekasi, Jawa Barat","Rp","1,399 M","3","2","105 m²","Rp 12.491.071 per m²","",""
"Dijual Rumah Di Jatiasih, Murah Tanah Luas Siap Huni Strategis Bebas Banjir","Jln Raya Jatiasih, Jatiasih, Bekasi, Jawa Barat","Rp","1,35 M","4","3","133 m²","Rp 7.714.286 per m²","",""
"Rumah 2 lantai Dekat Harapan Indah","J. Genang, Tarumajaya, Bekasi, Jawa Barat","Rp","799 jt","3","1","63 m²","Rp 15.075.472 per m²","",""
