"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 4,1 Miliar","Cengkareng, Jakarta Barat","3","3","2","120 m²","150 m²"
"Rp 12,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","","","","160 m²","360 m²"
"Rp 2,35 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","1","75 m²","100 m²"
"Rp 105 Miliar","Pantai Indah Kapuk, Jakarta Utara","","","","1626 m²","2500 m²"
"Rp 2,64 Miliar","Jagakarsa, Jakarta Selatan","4","4","1","110 m²","140 m²"
"Rp 8,8 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","4","","300 m²","360 m²"
"Rp 13,8 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","4","3","232 m²","551 m²"
"Rp 3,6 Miliar","Tanah Kusir, Jakarta Selatan","4","3","1","288 m²","288 m²"
"Rp 11,5 Miliar","Pondok Indah, Jakarta Selatan","3","3","1","340 m²","250 m²"
"Rp 3,25 Miliar","Metland Puri, Jakarta Barat","4","3","2","150 m²","150 m²"
"Rp 995 Juta","Jagakarsa, Jakarta Selatan","3","2","2","60 m²","70 m²"
"Rp 2,3 Miliar","Cakung, Jakarta Timur","3","3","1","120 m²","115 m²"
"Rp 1,99 Miliar","Cakung, Jakarta Timur","3","2","1","128 m²","103 m²"
"Rp 14 Miliar","Kemang, Jakarta Selatan","4","3","2","921 m²","450 m²"
"Rp 3,9 Miliar","Lebak Bulus, Jakarta Selatan","","","","112 m²","155 m²"
"Rp 14 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","4","2","300 m²","400 m²"
"Rp 33 Miliar","Kebayoran Lama, Jakarta Selatan","3","3","","573 m²","400 m²"
"Rp 658 Juta","Utan Kayu, Jakarta Timur","2","1","1","17 m²","35 m²"
"Rp 658 Juta","Utan Kayu, Jakarta Timur","2","1","1","17 m²","35 m²"
"Rp 760 Juta","Matraman, Jakarta Timur","2","1","1","30 m²","56 m²"
"Rp 7 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","4","","200 m²","300 m²"
"Rp 4,2 Miliar","Green Lake City, Jakarta Barat","4","4","","160 m²","360 m²"
"Rp 3,2 Miliar","Meruya, Jakarta Barat","3","3","","120 m²","100 m²"
"Rp 15,5 Miliar","Pantai Mutiara, Jakarta Utara","4","3","1","540 m²","630 m²"
"Rp 4,9 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","4","2","150 m²","200 m²"
"Rp 16 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","5","1","300 m²","450 m²"
"Rp 1,6 Miliar","Cakung, Jakarta Timur","3","2","","70 m²","88 m²"
"Rp 10 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","4","","270 m²","600 m²"
"Rp 10 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","1","144 m²","250 m²"
"Rp 890 Juta","Joglo, Jakarta Barat","3","3","1","52 m²","71 m²"
"Rp 2,09 Miliar","Pulo Gadung, Jakarta Timur","2","2","1","44 m²","80 m²"
"Rp 394 Juta","Matraman, Jakarta Timur","2","2","","20 m²","40 m²"
"Rp 1,17 Miliar","Slipi, Jakarta Barat","2","2","1","39 m²","58 m²"
"Rp 1,48 Miliar","Cempaka Putih, Jakarta Pusat","3","3","1","36 m²","99 m²"
"Rp 33 Miliar","Pondok Indah, Jakarta Selatan","4","4","2","525 m²","650 m²"
"Rp 640 Juta","Matraman, Jakarta Timur","2","2","1","33 m²","58 m²"
"Rp 1,19 Miliar","Cipinang, Jakarta Timur","2","2","1","47 m²","61 m²"
"Rp 10 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","4","","160 m²","320 m²"
"Rp 859 Juta","Jatinegara, Jakarta Timur","2","2","1","39 m²","63 m²"
"Rp 5,8 Miliar","Pejaten, Jakarta Selatan","4","5","2","182 m²","230 m²"
"Rp 18 Miliar","Cilandak, Jakarta Selatan","5","5","","982 m²","600 m²"
"Rp 25 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","5","1","486 m²","950 m²"
"Rp 8,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","5","2","240 m²","500 m²"
"Rp 7,5 Miliar","Muara Karang, Jakarta Utara","4","3","2","250 m²","350 m²"
"Rp 26 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","4","2","785 m²","1200 m²"
"Rp 13,8 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","1","232 m²","550 m²"
"Rp 4,3 Miliar","Muara Karang, Jakarta Utara","","","","200 m²","300 m²"
"Rp 4 Miliar","Green Lake City, Jakarta Barat","4","3","1","180 m²","250 m²"
"Rp 18 Miliar","Kelapa Gading, Jakarta Utara","5","4","2","386 m²","800 m²"
"Rp 3,2 Miliar","Jelambar, Jakarta Barat","3","3","2","95 m²","282 m²"
"Rp 13 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","3","1","250 m²","300 m²"
"Rp 2,6 Miliar","Duri Kepa, Jakarta Barat","5","3","","150 m²","300 m²"
"Rp 444 Juta","Kemayoran, Jakarta Pusat","2","2","","27 m²","42 m²"
"Rp 10,5 Miliar","Pluit, Jakarta Utara","3","3","4","200 m²","660 m²"
"Rp 2,85 Miliar","Green Lake City, Jakarta Barat","3","3","","193 m²","126 m²"
"Rp 2,85 Miliar","Lebak Bulus, Jakarta Selatan","3","3","2","114 m²","150 m²"
"Rp 4,19 Miliar","Pejaten, Jakarta Selatan","4","3","2","152 m²","186 m²"
"Rp 14 Miliar","Pondok Indah, Jakarta Selatan","4","4","2","200 m²","400 m²"
"Rp 3,72 Miliar","Jagakarsa, Jakarta Selatan","4","4","2","112 m²","240 m²"
"Rp 3,45 Miliar","Cilandak, Jakarta Selatan","4","3","2","94 m²","200 m²"
"Rp 3,6 Miliar","Puri Indah, Jakarta Barat","4","3","2","120 m²","200 m²"
"Rp 12 Miliar","Jelambar, Jakarta Barat","5","4","1","378 m²","1000 m²"
"Rp 5 Miliar","Citra Garden, Jakarta Barat","4","3","1","240 m²","250 m²"
"Rp 3,35 Miliar","Puri Mansion, Jakarta Barat","4","3","","120 m²","200 m²"
"Rp 3 Miliar","Rawamangun, Jakarta Timur","4","3","2","179 m²","230 m²"
"Rp 10,9 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","3","1","290 m²","500 m²"
"Rp 20,9 Miliar","Kemang, Jakarta Selatan","4","3","4","1197 m²","500 m²"
"","","3","2","3","73 m²","189 m²"
"Rp 6,8 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","5","3","136 m²","300 m²"
"Rp 4,95 Miliar","Pluit, Jakarta Utara","","","","200 m²","200 m²"
"Rp 10,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","6","5","1","270 m²","700 m²"
"Rp 3 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","2","90 m²","120 m²"
"Rp 33 Miliar","Menteng, Jakarta Pusat","5","4","2","395 m²","750 m²"
"Rp 41 Miliar","Menteng, Jakarta Pusat","4","4","","519 m²","500 m²"
"Rp 2,6 Miliar","Cipete, Jakarta Selatan","4","2","3","150 m²","200 m²"
"Rp 3,99 Miliar","Permata Buana, Jakarta Barat","","","","136 m²","200 m²"
"Rp 19 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","5","","503 m²","800 m²"
"Rp 175 Miliar","Senopati, Jakarta Selatan","5","5","4","1305 m²","1500 m²"
"Rp 1,59 Miliar","Jelambar, Jakarta Barat","3","3","1","39 m²","110 m²"
"Rp 13,5 Miliar","Kemang, Jakarta Selatan","4","3","8","1080 m²","400 m²"
"Rp 100 Miliar","Menteng, Jakarta Pusat","6","6","4","1225 m²","800 m²"
"Rp 175 Miliar","Kebayoran Baru, Jakarta Selatan","6","7","6","1305 m²","1200 m²"
"Rp 27,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","4","","400 m²","800 m²"
"Rp 4,8 Miliar","Permata Buana, Jakarta Barat","4","4","1","200 m²","300 m²"
