"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Jual Rumah Seken Terawat Bebas Banjir Strategis Dekat Sawangan Depok Harga All In Siap KPR","Perumahan Taman Bojongsari, Sawangan, Depok, Jawa Barat","Rp","1,26 M","3","2","95 m²","Rp 7.682.927 per m²","",""
"Cimanggis","Harjamukti, Depok, Harjamukti, Depok, Jawa Barat","Rp","7 M","5","3","400 m²","Rp 6.730.769 per m²","",""
"Kuntaboja Residence 8","Jalan Bungsan, Sawangan, Depok, Jawa Barat","Rp","847 jt","3","2","98 m²","Rp 10.204.819 per m²","",""
"Taman Arcadia Mediterania","Jl. Raya Tapos, Cimanggis, Cimanggis, Depok, Jawa Barat","Rp","1,95 M","1","1","70 m²","Rp 9.420.290 per m²","",""
"Jual Rumah Seken Harga Nego Bebas Banjir Dekat Sawangan Depok Bisa KPR Biaya All in","Nirwana Cipayung Griya Vitara Indah, Sawangan, Depok, Jawa Barat","Rp","660 jt","2","1","45 m²","Rp 8.250.000 per m²","",""
"Rumah Siap Huni Harga Nego di Depok Griya Vitara Indah Biaya All In Bisa KPR DP Ringan","Nirwana Cipayung Griya Vitara Indah, Pancoran Mas, Depok, Jawa Barat","Rp","660 jt","2","1","45 m²","Rp 8.250.000 per m²","",""
"RUMAH SEHAT DENGAN DESIGN KEKINIAN DI CIMANGGIS CIBUBUR PINGGIR JALAN RAYA","Jl. Raya Putri Tunggal Cimanggis Depok, Cimanggis, Depok, Jawa Barat","Rp","1,7404625 M","4","3","100 m²","Rp 22.313.622 per m²","",""
"Rumah Cluster Dekat Universitas Indonesia","K.H.M USMAN, Beji, Depok, Jawa Barat","Rp","650 jt","2","1","40 m²","Rp 10.833.333 per m²","",""
"Jual Rumah Siap Huni Di Perumahan Green Garden 2 Bebas Banjir Harga All In Siap KPR","Perumahan Green Garden 2, Sawangan, Depok, Jawa Barat","Rp","500 jt","2","1","75 m²","Rp 6.666.667 per m²","",""
"Jual Rumah Hook Minimalis Strategis Dekat Pancoran Mas Harga Nego Biaya All In Siap KPR","Perumahan Depok Country, Pancoran Mas, Depok, Jawa Barat","Rp","810 jt","2","1","45 m²","Rp 9.642.857 per m²","",""
