"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","hidden-sm","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Vila Delima",". Jl. Karang Tengah Raya Lebak Bulus, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","6,75 M","3","4","250 m²","Hubungi","Rp 26.367.188 per m²","",""
"Dijual jakarta garden citi jakarta timur","Cluster lantana, Cakung, Jakarta Timur, DKI Jakarta","Rp","3 M","4","3","200 m²","Hubungi","Rp 15.151.515 per m²","",""
"Rumah mewah arga bersaahabat desgnt modernt","Jln cipinang Raya jakarta Timur, Cipinang, Jakarta Timur, DKI Jakarta","Rp","209,3175 jt","3","3","56 m²","Hubungi","Rp 2.907.188 per m²","",""
"Meruya For Sale Brand New","Meruya, Meruya, Jakarta Barat, DKI Jakarta","Rp","2,5 M","3","3","186 m²","Hubungi","Rp 20.000.000 per m²","",""
"Jakarta Garden city cluster south mississippi","JAKARTA GARDEN CITY , 
CLUSTER SOUTH MISSISSIPPI, Cakung, Jakarta Timur, DKI Jakarta","Rp","2,95 M","4","3","168 m²","Hubungi","Rp 26.339.286 per m²","",""
"Rumah murah di jakaeta barat Taman sari","Jl. Taman sari 2 jakarta barat, Taman Sari, Jakarta Barat, DKI Jakarta","Rp","500,116 jt","","","42 m²","Hubungi","Rp 22.732.545 per m²","",""
"Rumah Mewah Permata Hijau","Permata hijau, Permata Hijau, Jakarta Selatan, DKI Jakarta","Rp","27 M","7","4","334 m²","Hubungi","Rp 36.241.611 per m²","",""
"Runah paling murah harga terjangkau di Utan katyu jakarta Timur","Jl Kamboja utan kayi jakarta tumur, Matraman, Jakarta Timur, DKI Jakarta","Rp","4,555 M","2","1","40 m²","Hubungi","Rp 216.904.762 per m²","",""
"CONDET","CONDET, Condet, Jakarta Timur, DKI Jakarta","Rp","2,5 M","4","3","180 m²","Hubungi","Rp 10.416.667 per m²","",""
"Rumah 1 lantai di Cibubur lokasi Strategis","Cibubur, Jakarta Timur, DKI Jakarta","Rp","799 jt","2","1","50 m²","Hubungi","Rp 10.653.333 per m²","",""
"Rumah Tua Terawat siap Huni di Kebayoran Baru, Jakarta Selatan","Kebayoran baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","32 M","4","3","475 m²","Hubungi","Rp 53.601.340 per m²","",""
"Tanjung Duren, Jakarta Barat","Tanjung Duren, Jakarta Barat, DKI Jakarta","Rp","5,5 M","10","10","275 m²","Hubungi","Rp 60.439.560 per m²","",""
"Pantai Indah Kapuk - Cluster Katamaran","Jl. Pantai Indah Kapuk, Kapuk Muara, Jakarta Utara, DKI Jakarta","Rp","7,5 M","5","3","300 m²","Hubungi","Rp 37.500.000 per m²","",""
"RUMAH FULL FURNISTED DI LEGENDA WISATA CIBUBUR","Cibubur, Jakarta Timur, DKI Jakarta","Rp","7,5 M","8","4","540 m²","Hubungi","Rp 16.129.032 per m²","",""
"Rumah dijual di Cipete jakarta selatan","Jl.Abd.majid Komplek.perla, Cipete, Jakarta Selatan, DKI Jakarta","Rp","9 M","3","2","300 m²","Hubungi","Rp 26.392.962 per m²","",""
"Buaran jakarta timur","Jln.Nusa indah 4/94 PRUMNAs Klender jak-tim, Buaran, Jakarta Timur, DKI Jakarta","Rp","750 jt","3","1","78 m²","Hubungi","Rp 9.615.385 per m²","",""
"Golf Island Pantai Indah Kapuk","Golf Island Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","20,5 M","4","4","800 m²","Hubungi","Rp 45.555.556 per m²","",""
"Sunter","Sunter, Sunter, Jakarta Utara, DKI Jakarta","Rp","3,3 M","4","3","192 m²","Hubungi","Rp 27.500.000 per m²","",""
"Mega Kuningan","Kuningan, Jakarta Selatan, DKI Jakarta","Rp","85 M","10","9","2500 m²","Hubungi","Rp 80.952.381 per m²","",""
"DIJUAL RUMAH PIK2 6X10 TAHAP 1 CUMA 1, 75 M SAJA !","PANTAI INDAH KAPUK, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","1,75 M","3","2","60 m²","Hubungi","Rp 24.305.556 per m²","",""
"Rumah Uk 8 X 10 Di Pik 2 Harga Murah cluster Bagus","PiK 2 ,Pantai Indah kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","2,4 M","4","2","105 m²","Hubungi","Rp 30.000.000 per m²","",""
"Rumah PIK 4x12. 5 Murah dan sudah serah terima. bisa langsung huni! !","Kamal, Jakarta Utara, DKI Jakarta","Rp","1,75 M","2","2","78 m²","Hubungi","Rp 36.458.333 per m²","",""
"Citra garden puri","Citra garden puri, Taman Semanan Indah, Jakarta Barat, DKI Jakarta","Rp","1,85 M","3","2","110 m²","Hubungi","Rp 20.555.556 per m²","",""
"Meruya Brand New Minimalis","Meruya, Meruya, Jakarta Barat, DKI Jakarta","Rp","2,3 M","4","3","150 m²","Hubungi","Rp 18.400.000 per m²","",""
"Meruya Brand New Industrial Minimalis","Meruya, Meruya, Jakarta Barat, DKI Jakarta","Rp","2,5 M","3","2","160 m²","Hubungi","Rp 20.000.000 per m²","",""
"Rumah Pojok Utan Kayu","Utankayu, Utan Kayu, Jakarta Timur, DKI Jakarta","Rp","5 M","6","3","200 m²","Hubungi","Rp 9.523.810 per m²","",""
"rumah bgm pik pantai indah kapuk view swimming pool renovasi bagus jarang ada","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","11 M","3","3","250 m²","Hubungi","Rp 55.000.000 per m²","",""
"(41205) Rumah Bangka - Coldwell Banker","Bangka, Jakarta Selatan, DKI Jakarta","Rp","7 M","3","3","350 m²","Hubungi","Rp 53.846.154 per m²","",""
"Rumah Modern Minimalis Cibubur","Jl Belimbing, Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,75 M","3","3","110 m²","Hubungi","Rp 15.350.877 per m²","",""
"Lebak bulus","Lebak bulus karang tengah, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","4,3 M","5","4","150 m²","Hubungi","Rp 34.959.350 per m²","",""
"Perumahan Jakarta 500 meter ke LRT DP 50 Juta","Jalam manunggal, Ciracas, Pasar Rebo, Jakarta Timur, DKI Jakarta","Rp","861,5 jt","3","2","82 m²","Hubungi","Rp 19.144.444 per m²","",""
"Kalibata","kalibata utara, Kalibata, Jakarta Selatan, DKI Jakarta","Rp","1,9 M","3","3","90 m²","Hubungi","Rp 61.290.323 per m²","",""
"kalibata","kalibata utara, Kalibata, Jakarta Selatan, DKI Jakarta","Rp","900 jt","","","60 m²","Hubungi","Rp 45.000.000 per m²","",""
"TEBET","Komplek Tebet akses 3 Mobil, Tebet, Jakarta Selatan, DKI Jakarta","Rp","8,05 M","5","4","425 m²","Hubungi","Rp 18.941.176 per m²","",""
"Tanjung Duren","Tanjung Duren, Tanjung Duren, Jakarta Barat, DKI Jakarta","Rp","5,5 M","10","10","275 m²","Hubungi","Rp 60.439.560 per m²","",""
"Kemang","Kemang, Jakarta Selatan, DKI Jakarta","Rp","30 M","5","5","1000 m²","Hubungi","Rp 50.000.000 per m²","",""
"Pondok indah","Jl Gedung Hijau, Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","6 M","5","3","210 m²","Hubungi","Rp 32.085.561 per m²","",""
"Kebagusan Jakarta Selatan","Area KebagusanJakarta Selatan, Kebagusan, Jakarta Selatan, DKI Jakarta","Rp","3,9 M","4","3","165 m²","Hubungi","Rp 20.000.000 per m²","",""
"Kebayoran Baru","Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","19,999 M","5","10","792 m²","Hubungi","Rp 45.659.817 per m²","",""
"Rumah di Mampang Prapatan","Jalan Mampang Prapatan, Mampang Prapatan, Jakarta Selatan, DKI Jakarta","Rp","26,5 M","10","7","429 m²","Hubungi","Rp 28.710.726 per m²","",""
"Kuningan","Setia Budi, Jakarta Selatan, DKI Jakarta","Rp","85 M","10","10","2500 m²","Hubungi","Rp 56.666.667 per m²","",""
"RUMAH MEWAH LOKASI SANGAT STRATEGIS DI TEBET JAKARTA SELATAN","Tebet, Tebet, Jakarta Selatan, DKI Jakarta","Rp","23,5 M","7","5","610 m²","Hubungi","Rp 44.339.623 per m²","",""
"Rumah Tahap 1&2 PIK2","Jl. Marina Raya Jl. Pantai Indah Kapuk No.1, RT.7/RW.2, Kamal Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Penjaringan, Jakarta Utara, DKI Jakarta","Rp","12,5 M","3","3","560 m²","Hubungi","Rp 46.296.296 per m²","",""
"Dijual Property PIK","Petojo Utara, Jakarta Pusat, DKI Jakarta","Rp","3 M","9","7","150 m²","Hubungi","Rp 20.000.000 per m²","",""
