"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 952 Juta","Tarumajaya, Bekasi","2","2","","55 m²","50 m²"
"Rp 160 Juta","Tambun Utara, Bekasi","2","1","1","60 m²","30 m²"
"Rp 400 Juta","Tambun Selatan, Bekasi","2","1","2","78 m²","40 m²"
"Rp 1,19 Miliar","Jatisampurna, Bekasi","3","2","2","95 m²","60 m²"
"Rp 952 Juta","Tarumajaya, Bekasi","2","2","1","70 m²","90 m²"
"Rp 360 Juta","Tambun Selatan, Bekasi","2","1","","72 m²","36 m²"
"Rp 500 Juta","Setu, Bekasi","2","2","1","60 m²","48 m²"
"Rp 390 Juta","Setu, Bekasi","2","1","1","60 m²","36 m²"
"Rp 390 Juta","Setu, Bekasi","","","","60 m²","36 m²"
"Rp 390 Juta","Setu, Bekasi","2","1","1","73 m²","36 m²"
"Rp 800 Juta","Tarumajaya, Bekasi","2","1","1","90 m²","54 m²"
"Rp 1,05 Miliar","Jatibening, Bekasi","3","2","1","72 m²","90 m²"
"Rp 1,05 Miliar","Jatibening, Bekasi","3","2","1","72 m²","90 m²"
"Rp 1,65 Miliar","Kayuringin Jaya, Bekasi","4","1","1","123 m²","100 m²"
"Rp 300 Juta","Tambun Utara, Bekasi","2","1","2","60 m²","30 m²"
"Rp 999 Juta","Jatikarya, Bekasi","3","2","2","95 m²","70 m²"
"Rp 700 Juta","Jatisampurna, Bekasi","3","2","2","80 m²","66 m²"
"Rp 350 Juta","Cimuning, Bekasi","2","1","2","70 m²","45 m²"
"Rp 350 Juta","Mustikajaya, Bekasi","2","1","2","70 m²","41 m²"
"Rp 800 Juta","Bekasi, Bekasi","3","2","","92 m²","82 m²"
"Rp 800 Juta","Jati Asih, Bekasi","3","2","","72 m²","82 m²"
"Rp 450 Juta","Karang Satria, Bekasi","2","2","","72 m²","72 m²"
"Rp 499 Juta","Bekasi Kota, Bekasi","3","1","1","60 m²","37 m²"
"Rp 559 Juta","Bekasi Kota, Bekasi","3","1","","72 m²","42 m²"
"Rp 800 Juta","Bekasi Barat, Bekasi","3","2","","92 m²","82 m²"
"Rp 959 Juta","Jati Asih, Bekasi","3","2","1","96 m²","80 m²"
"Rp 700 Juta","Jababeka, Bekasi","3","1","1","113 m²","85 m²"
"Rp 700 Juta","Delta Mas, Bekasi","2","1","1","98 m²","36 m²"
"Rp 178 Juta","Setu, Bekasi","2","1","1","60 m²","30 m²"
"Rp 595 Juta","Bekasi, Bekasi","2","1","","63 m²","38 m²"
"Rp 600 Juta","Bekasi Kota, Bekasi","2","1","1","70 m²","48 m²"
"Rp 388 Juta","Setu, Bekasi","2","1","","45 m²","72 m²"
"Rp 900 Juta","Mustikajaya, Bekasi","3","3","1","60 m²","85 m²"
"Rp 900 Juta","Bekasi Utara, Bekasi","3","2","2","96 m²","69 m²"
"Rp 695 Juta","Jati Asih, Bekasi","2","2","1","69 m²","58 m²"
"Rp 1,29 Miliar","Jatiwarna, Bekasi","4","2","2","92 m²","130 m²"
"Rp 1,41 Miliar","Jatiwarna, Bekasi","4","4","2","105 m²","84 m²"
"Rp 2,9 Miliar","Jatiwaringin, Bekasi","4","2","","585 m²","285 m²"
"Rp 1,2 Miliar","Pekayon, Bekasi","2","4","","117 m²","160 m²"
"Rp 1,27 Miliar","Summarecon Bekasi, Bekasi","3","2","1","55 m²","69 m²"
"Rp 2,75 Miliar","Bekasi Timur, Bekasi","6","4","1","225 m²","211 m²"
"Rp 995 Juta","Jati Asih, Bekasi","3","2","","80 m²","90 m²"
"Rp 4,4 Miliar","Jati Asih, Bekasi","4","3","","515 m²","240 m²"
"Rp 2,1 Miliar","Bekasi Utara, Bekasi","3","3","","104 m²","120 m²"
"Rp 2,7 Miliar","Bekasi, Bekasi","3","3","","135 m²","149 m²"
"Rp 952 Juta","Bekasi, Bekasi","2","2","","55 m²","50 m²"
"Rp 875 Juta","Jati Asih, Bekasi","3","2","1","100 m²","66 m²"
"Rp 4,04 Miliar","Jatiwarna, Bekasi","5","4","2","183 m²","136 m²"
"Rp 1,69 Miliar","Jatibening, Bekasi","5","5","1","182 m²","300 m²"
"Rp 1,62 Miliar","Jatibening, Bekasi","3","3","2","92 m²","170 m²"
"Rp 545 Juta","Bekasi Utara, Bekasi","2","1","1","72 m²","42 m²"
"Rp 750 Juta","Bintara, Bekasi","3","2","1","50 m²","100 m²"
"Rp 1,05 Miliar","Jatibening, Bekasi","3","2","1","72 m²","90 m²"
"Rp 1,4 Miliar","Jati Asih, Bekasi","2","2","1","112 m²","71 m²"
"Rp 1,05 Miliar","Bintara, Bekasi","3","2","1","72 m²","90 m²"
"Rp 1,05 Miliar","Jati Asih, Bekasi","3","2","1","72 m²","90 m²"
"Rp 1,05 Miliar","Jatibening, Bekasi","3","2","1","72 m²","90 m²"
"Rp 1,05 Miliar","Jatibening, Bekasi","3","2","1","72 m²","90 m²"
"Rp 350 Juta","Setu, Bekasi","2","1","1","60 m²","38 m²"
"Rp 1,18 Miliar","Jatisampurna, Bekasi","3","3","1","84 m²","77 m²"
"Rp 1,18 Miliar","Jatirangga, Bekasi","3","3","1","84 m²","77 m²"
"Rp 1,62 Miliar","Jaka Setia, Bekasi","3","3","2","118 m²","156 m²"
"Rp 1,15 Miliar","Jatisampurna, Bekasi","2","1","2","90 m²","70 m²"
"Rp 975 Juta","Jati Asih, Bekasi","3","2","1","100 m²","70 m²"
"Rp 850 Juta","Harapan Indah, Bekasi","2","1","1","90 m²","60 m²"
"Rp 2,2 Miliar","Grand Wisata, Bekasi","3","3","1","180 m²","90 m²"
"Rp 675 Juta","Bekasi, Bekasi","2","1","","140 m²","70 m²"
"Rp 950 Juta","Harapan Indah, Bekasi","2","1","1","126 m²","80 m²"
"Rp 400 Juta","Cikarang, Bekasi","2","1","1","60 m²","38 m²"
"Rp 650 Juta","Jati Asih, Bekasi","2","1","1","72 m²","45 m²"
"Rp 500 Juta","Bekasi Timur, Bekasi","3","1","2","72 m²","45 m²"
"Rp 825 Juta","Cikarang Selatan, Bekasi","4","","","140 m²","110 m²"
"Rp 650 Juta","Harapan Baru, Bekasi","2","1","1","72 m²","60 m²"
