"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 625 Juta","Cinangka, Depok","2","1","1","75 m²","50 m²"
"Rp 350 Juta","Depok II, Depok","2","1","1","50 m²","36 m²"
"Rp 680 Juta","Cinangka, Depok","2","2","1","64 m²","60 m²"
"Rp 700 Juta","Cinangka, Depok","2","1","2","105 m²","55 m²"
"","","2","1","2","65 m²","45 m²"
"Rp 494 Juta","Cinangka, Depok","2","1","1","66 m²","40 m²"
"Rp 725 Juta","Margonda, Depok","2","2","1","45 m²","60 m²"
"Rp 1,59 Miliar","Tanah Baru, Depok","4","3","1","102 m²","140 m²"
"Rp 1,05 Miliar","Cilodong, Depok","3","","","86 m²","120 m²"
"Rp 940 Juta","Cinangka, Depok","3","3","2","88 m²","100 m²"
"Rp 980 Juta","Sukmajaya, Depok","4","2","1","100 m²","180 m²"
"Rp 4,82 Miliar","Margonda, Depok","6","2","","450 m²","250 m²"
"Rp 1,3 Miliar","Kelapa Dua, Depok","3","3","1","75 m²","103 m²"
"Rp 195 Juta","Citayam, Depok","2","1","1","40 m²","36 m²"
"Rp 450 Juta","Pasir Putih, Depok","2","1","","90 m²","72 m²"
"Rp 995 Juta","Cinangka, Depok","4","3","2","80 m²","95 m²"
"Rp 774 Juta","Cinangka, Depok","3","2","1","92 m²","70 m²"
"Rp 1,2 Miliar","Sawangan, Depok","2","2","","84 m²","75 m²"
"Rp 200 Juta","Cipayung, Depok","2","1","","42 m²","40 m²"
"Rp 250 Juta","Sawangan, Depok","2","1","1","36 m²","60 m²"
"Rp 2,49 Miliar","Cinere, Depok","3","3","2","120 m²","178 m²"
"Rp 501 Juta","Citayam, Depok","2","1","1","78 m²","36 m²"
"Rp 651 Juta","Sukmajaya, Depok","2","1","1","50 m²","55 m²"
"Rp 473 Juta","Citayam, Depok","2","1","","72 m²","36 m²"
"Rp 1,95 Miliar","Cimanggis, Depok","1","1","1","207 m²","70 m²"
"Rp 875 Juta","Pancoran Mas, Depok","5","2","1","72 m²","115 m²"
"Rp 1,8 Miliar","Sawangan, Depok","5","4","","112 m²","120 m²"
"Rp 440 Juta","Citayam, Depok","2","1","1","60 m²","36 m²"
"Rp 600 Juta","Cinangka, Depok","2","1","1","85 m²","50 m²"
"Rp 4 Miliar","Sawangan, Depok","4","3","2","600 m²","300 m²"
"Rp 2,2 Miliar","Cinere, Depok","3","3","2","118 m²","160 m²"
"Rp 4,3 Miliar","Pangkalan Jati, Depok","4","4","2","390 m²","300 m²"
"Rp 1,3 Miliar","Cimanggis, Depok","4","2","1","115 m²","135 m²"
"Rp 756 Juta","Beji, Depok","2","2","2","60 m²","51 m²"
"Rp 2,5 Miliar","Beji, Depok","12","4","","312 m²","420 m²"
"Rp 650 Juta","Sawangan, Depok","3","1","1","72 m²","52 m²"
"Rp 630 Juta","Bojong Sari, Depok","3","1","1","72 m²","52 m²"
"Rp 774 Juta","Cinangka, Depok","3","2","1","68 m²","56 m²"
"Rp 1,1 Miliar","Tanah Baru, Depok","3","2","1","92 m²","100 m²"
"Rp 464 Juta","Cilodong, Depok","2","1","1","60 m²","38 m²"
"Rp 2,7 Miliar","Cinere, Depok","","","","",""
"Rp 350 Juta","Cipayung, Depok","3","1","","60 m²","36 m²"
"Rp 4,5 Miliar","Cimanggis, Depok","5","3","3","515 m²","400 m²"
"Rp 2,55 Miliar","Cinere, Depok","3","3","1","120 m²","158 m²"
"Rp 615 Juta","Cinangka, Depok","2","1","1","70 m²","48 m²"
"Rp 989 Juta","Sawangan, Depok","4","2","1","70 m²","118 m²"
"Rp 990 Juta","Cinere, Depok","3","2","1","70 m²","115 m²"
"Rp 985 Juta","Sawangan, Depok","3","2","1","70 m²","115 m²"
"Rp 1,73 Miliar","Margonda, Depok","3","3","2","80 m²","100 m²"
"","","3","2","","91 m²","80 m²"
"Rp 1,15 Miliar","Beji, Depok","3","3","2","72 m²","80 m²"
"Rp 1,09 Miliar","Cinere, Depok","3","4","1","72 m²","110 m²"
"Rp 850 Juta","Pancoran Mas, Depok","3","2","1","90 m²","75 m²"
"Rp 895 Juta","Cinangka, Depok","3","2","1","89 m²","75 m²"
"Rp 1,12 Miliar","Cinangka, Depok","3","3","1","72 m²","100 m²"
