km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,harga
3,4,0,312.0,135.0,Jakarta,2990000000
6,8,2,1100.0,377.0,Jakarta,25000000000
4,3,1,300.0,250.0,Jakarta,13000000000
3,3,1,101.0,76.0,Jakarta,1810000000
3,3,0,250.0,171.0,Jakarta,2700000000
4,3,4,350.0,434.0,Jakarta,17200000000
3,3,0,250.0,200.0,Jakarta,8300000000
7,4,6,526.0,652.0,Jakarta,14900000000
3,3,1,550.0,232.0,Jakarta,13800000000
4,3,2,120.0,90.0,Jakarta,2300000000
4,4,0,240.0,188.0,Jakarta,3300000000
4,4,1,720.0,370.0,Jakarta,21000000000
3,3,0,200.0,140.0,Jakarta,4500000000
5,5,2,450.0,300.0,Jakarta,13000000000
3,3,2,268.0,180.0,Jakarta,3950000000
5,4,2,300.0,205.0,Jakarta,2800000000
4,2,3,190.0,350.0,Jakarta,4990000000
3,2,1,146.0,150.0,Jakarta,2500000000
4,3,2,216.0,180.0,Jakarta,4500000000
4,4,2,175.0,300.0,Jakarta,7800000000
3,2,2,80.0,68.0,Jakarta,1750000000
5,4,2,250.0,200.0,Jakarta,7700000000
2,2,1,50.0,33.0,Jakarta,11843707482
5,2,2,83.0,72.0,Jakarta,11843707482
3,3,0,250.0,160.0,Jakarta,5200000000
3,2,1,90.0,57.0,Jakarta,1750000000
4,3,0,300.0,490.0,Jakarta,16000000000
5,5,0,600.0,793.0,Jakarta,42000000000
4,4,1,203.0,211.0,Jakarta,5700000000
3,2,1,120.0,72.0,Jakarta,1800000000
5,6,10,1350.0,1008.0,Jakarta,24000000000
3,2,1,300.0,322.0,Jakarta,12500000000
5,5,2,550.0,500.0,Jakarta,12500000000
4,4,2,700.0,400.0,Jakarta,18000000000
5,5,0,600.0,982.0,Jakarta,18000000000
3,2,1,113.0,102.0,Jakarta,2200000000
4,3,1,268.0,115.0,Jakarta,3300000000
3,2,1,110.0,55.0,Jakarta,1350000000
3,3,2,126.0,120.0,Jakarta,2900000000
4,4,0,450.0,300.0,Jakarta,8000000000
2,1,0,44.0,24.0,Jakarta,11843707482
3,2,0,192.0,64.0,Jakarta,1650000000
4,2,0,138.0,179.0,Jakarta,3200000000
3,2,0,98.0,119.0,Jakarta,1350000000
4,3,3,180.0,120.0,Jakarta,3300000000
5,5,0,800.0,358.0,Jakarta,17800000000
2,2,2,60.0,83.0,Jakarta,1600000000
3,2,0,134.0,45.0,Jakarta,1700000000
7,4,1,459.0,153.0,Jakarta,6500000000
3,4,1,78.0,60.0,Jakarta,11843707482
4,3,2,200.0,94.0,Jakarta,3450000000
4,4,1,200.0,184.0,Jakarta,8890000000
4,2,0,220.0,169.0,Jakarta,2400000000
6,6,8,1130.0,4041.0,Jakarta,60000000000
4,3,0,300.0,144.0,Jakarta,6200000000
