km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,umr,jlh-pdk,harga
6,6,0,550,390,Jakarta,4641991,11249722,19000000000
6,5,2,290,195,Jakarta,4641992,11249723,4800000000
6,5,2,222,90,Jakarta,4641993,11249724,3500000000
6,6,2,350,214,Jakarta,4641994,11249725,5500000000
6,6,2,240,195,Jakarta,4641995,11249726,4800000000
6,6,2,600,325,Jakarta,4641996,11249727,32000000000
6,7,2,150,120,Jakarta,4641997,11249728,4100000000
6,4,1,100,75,Jakarta,4641998,11249729,2350000000
6,6,1,140,110,Jakarta,4641999,11249730,2640000000
6,4,0,360,300,Jakarta,46411000,11249731,8800000000
6,6,3,551,232,Jakarta,46411001,11249732,13800000000
6,5,1,288,288,Jakarta,46411002,11249733,3600000000
6,4,1,250,340,Jakarta,46411003,11249734,11500000000
6,4,2,150,150,Jakarta,46411004,11249735,3250000000
6,7,2,70,60,Jakarta,46411005,11249736,11843707482
6,3,1,115,120,Jakarta,46411006,11249737,2300000000
6,3,1,103,128,Jakarta,46411007,11249738,1990000000
6,3,2,450,921,Jakarta,46411008,11249739,14000000000
6,3,2,400,300,Jakarta,46411009,11249740,14000000000
6,6,0,400,573,Jakarta,46411010,11249741,33000000000
6,7,1,35,17,Jakarta,46411011,11249742,11843707482
6,6,1,35,17,Jakarta,46411012,11249743,11843707482
6,6,1,56,30,Jakarta,46411013,11249744,11843707482
6,3,0,300,200,Jakarta,46411014,11249745,7000000000
6,6,0,360,160,Jakarta,46411015,11249746,4200000000
6,6,0,100,120,Jakarta,46411016,11249747,3200000000
6,6,1,630,540,Jakarta,46411017,11249748,15500000000
6,5,2,200,150,Jakarta,46411018,11249749,4900000000
6,2,1,450,300,Jakarta,46411019,11249750,16000000000
6,4,0,88,70,Jakarta,46411020,11249751,1600000000
6,6,0,600,270,Jakarta,46411021,11249752,10000000000
6,2,1,250,144,Jakarta,46411022,11249753,10000000000
6,2,1,71,52,Jakarta,46411023,11249754,11843707482
6,4,1,80,44,Jakarta,46411024,11249755,2090000000
6,4,0,40,20,Jakarta,46411025,11249756,11843707482
6,2,1,58,39,Jakarta,46411026,11249757,1170000000
6,2,1,99,36,Jakarta,46411027,11249758,1480000000
6,2,2,650,525,Jakarta,46411028,11249759,33000000000
6,3,1,58,33,Jakarta,46411029,11249760,11843707482
6,2,1,61,47,Jakarta,46411030,11249761,1190000000
6,6,0,320,160,Jakarta,46411031,11249762,10000000000
6,7,1,63,39,Jakarta,46411032,11249763,11843707482
6,3,2,230,182,Jakarta,46411033,11249764,5800000000
6,3,0,600,982,Jakarta,46411034,11249765,18000000000
6,5,1,950,486,Jakarta,46411035,11249766,25000000000
6,2,2,500,240,Jakarta,46411036,11249767,8500000000
6,6,2,350,250,Jakarta,46411037,11249768,7500000000
6,3,2,1200,785,Jakarta,46411038,11249769,26000000000
6,2,1,550,232,Jakarta,46411039,11249770,13800000000
6,4,1,250,180,Jakarta,46411040,11249771,4000000000
6,5,2,800,386,Jakarta,46411041,11249772,18000000000
6,5,2,282,95,Jakarta,46411042,11249773,3200000000
6,3,1,300,250,Jakarta,46411043,11249774,13000000000
6,2,0,300,150,Jakarta,46411044,11249775,2600000000
6,7,0,42,27,Jakarta,46411045,11249776,11843707482
6,6,4,660,200,Jakarta,46411046,11249777,10500000000
6,4,0,126,193,Jakarta,46411047,11249778,2850000000
6,4,2,150,114,Jakarta,46411048,11249779,2850000000
6,4,2,186,152,Jakarta,46411049,11249780,4190000000
6,7,2,400,200,Jakarta,46411050,11249781,14000000000
6,2,2,240,112,Jakarta,46411051,11249782,3720000000
6,5,2,200,94,Jakarta,46411052,11249783,3450000000
6,4,2,200,120,Jakarta,46411053,11249784,3600000000
6,3,1,1000,378,Jakarta,46411054,11249785,12000000000
6,7,1,250,240,Jakarta,46411055,11249786,5000000000
